,hn_1,best_match,street_type,base_function,suffix_true,both_true
1,168,HUDSON AVE,AVE,168 HUDSON AVE,168 HUDSON AVE,168 HUDSON AVE
2,NA,DEAN AND VANDERBILT AVE,AVE,DEAN AND VANDERBILT AVE,DEAN AND VANDERBILT AVE,DEAN AND VANDERBILT AVE
3,82,POPLAR,ST,82 POPLAR ST,82 POPLAR ST,82 POPLAR ST
4,NA,EDUCATION OF,ST,EDUCATION OF ST,EDUCATION OF ST,EDUCATION OF ST
5,NA,UNION AND CT,CT,UNION AND CT,UNION AND CT,UNION AND CT
6,NA,PACIFIC AND BOERUM,ST,PACIFIC AND BOERUM ST,PACIFIC AND BOERUM ST,PACIFIC AND BOERUM ST
7,25,FRONT,ST,25 FRONT ST,25 FRONT ST,25 FRONT ST
8,NA,JOYALEMONN,ST,JOYALEMONN ST,JOYALEMONN ST,JOYALEMONN ST
9,NA,KENT ALY NORTH,ALY,KENT ALY NORTH ALY,KENT ALY NORTH ALY,KENT ALY NORTH ALY
10,NA,BOND AND STATE AND HOYT,ST,BOND AND STATE AND HOYT ST,BOND AND STATE AND HOYT ST,BOND AND STATE AND HOYT ST
11,262,ATLANTIC,ST,262 ATLANTIC ST,262 ATLANTIC ST,262 ATLANTIC ST
12,74,CONCORD,ST,74 CONCORD ST,74 CONCORD ST,74 CONCORD ST
13,115,JOHNSON,ST,115 JOHNSON ST,115 JOHNSON ST,115 JOHNSON ST
14,261,MARSHALL,ST,261 MARSHALL ST,261 MARSHALL ST,261 MARSHALL ST
15,301,GOLD,ST,301 GOLD ST,301 GOLD ST,301 GOLD ST
16,23,PRINCE,ST,23 PRINCE ST,23 PRINCE ST,23 PRINCE ST
17,288,HUDSON AVE,AVE,288 HUDSON AVE,288 HUDSON AVE,288 HUDSON AVE
18,NA,SHOEMAKER NAVY AND SANDS 4,ST,SHOEMAKER NAVY AND SANDS 4 ST,SHOEMAKER NAVY AND SANDS 4TH ST,SHOEMAKER NAVY AND SANDS 4TH ST
19,116,CONCORD,ST,116 CONCORD ST,116 CONCORD ST,116 CONCORD ST
20,180,HENRY,ST,180 HENRY ST,180 HENRY ST,180 HENRY ST
21,5,YORK I,ST,5 YORK I ST,5 YORK I ST,5 YORK I ST
